Device,Date,CO,NO2,SO2,O3,rawCO,rawNO2,rawSO2,rawO3,AQI,Temp,Humid,Press,Place
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:00:45,500,245,500,332,2110939,5603123,2171208,5602270,0,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:01:06,500,245,500,332,2110939,5603123,2171208,5602270,0,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:01:27,455,200,500,227,2006511,5608251,2052200,5610374,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:01:48,455,200,500,227,2006511,5608251,2052200,5610374,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:02:09,455,200,500,227,2006511,5608251,2052200,5610374,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:04:10,324,157,500,124,1912656,5613085,1941339,5614635,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:04:31,324,157,500,124,1912656,5613085,1941339,5614635,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:04:52,291,142,500,58,1885697,5614677,1914073,5616263,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:05:13,291,142,500,58,1885697,5614677,1914073,5616263,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:05:34,291,142,500,58,1885697,5614677,1914073,5616263,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:05:55,274,128,500,42,1868106,5616064,1891837,5617201,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:06:16,274,128,500,42,1868106,5616064,1891837,5617201,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:06:37,274,128,500,42,1868106,5616064,1891837,5617201,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:06:58,260,114,500,32,1853049,5617511,1874194,5618021,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:07:19,260,114,500,32,1853049,5617511,1874194,5618021,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:07:40,260,114,500,32,1853049,5617511,1874194,5618021,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:08:01,248,105,500,23,1839928,5618455,1860486,5618844,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:08:22,248,105,500,23,1839928,5618455,1860486,5618844,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:08:43,248,105,500,23,1839928,5618455,1860486,5618844,500,19.04,68.0,1007.65,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:09:04,239,72,500,9,1829560,5619387,1848591,5620008,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:09:25,239,72,500,9,1829560,5619387,1848591,5620008,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:09:46,239,72,500,9,1829560,5619387,1848591,5620008,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:10:07,231,55,500,8,1820941,5619691,1838802,5620136,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:10:28,231,55,500,8,1820941,5619691,1838802,5620136,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:10:49,231,55,500,8,1820941,5619691,1838802,5620136,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:11:10,224,34,500,3,1813677,5620098,1830694,5620543,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:11:31,224,34,500,3,1813677,5620098,1830694,5620543,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:11:52,224,34,500,3,1813677,5620098,1830694,5620543,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:12:13,218,10,500,0,1807556,5620600,1823420,5621191,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:12:34,218,10,500,0,1807556,5620600,1823420,5621191,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:12:56,218,10,500,0,1807556,5620600,1823420,5621191,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:13:17,213,0,500,0,1801825,5620990,1817001,5621159,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:13:38,213,0,500,0,1801825,5620990,1817001,5621159,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:13:59,213,0,500,0,1801825,5620990,1817001,5621159,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:14:20,208,0,500,0,1796762,5621678,1810835,5621372,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:14:41,208,0,500,0,1796762,5621678,1810835,5621372,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:15:02,208,0,500,0,1796762,5621678,1810835,5621372,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:15:23,204,0,500,0,1792413,5621910,1806733,5621753,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:15:44,204,0,500,0,1792413,5621910,1806733,5621753,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:16:05,204,0,500,0,1792413,5621910,1806733,5621753,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:16:26,200,0,500,0,1788345,5621928,1801981,5622062,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:16:47,200,0,500,0,1788345,5621928,1801981,5622062,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:17:08,200,0,500,0,1788345,5621928,1801981,5622062,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:17:29,200,0,500,0,1788345,5621928,1801981,5622062,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:17:50,200,0,500,0,1788345,5621928,1801981,5622062,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:18:11,200,0,500,0,1788345,5621928,1801981,5622062,500,20.0,64.5,1007.62,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:18:32,142,0,500,0,1763443,5623362,1773030,5623491,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:18:53,142,0,500,0,1763443,5623362,1773030,5623491,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:19:14,142,0,500,0,1763443,5623362,1773030,5623491,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:19:35,116,0,500,0,1752151,5624178,1760136,5624034,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:19:56,116,0,500,0,1752151,5624178,1760136,5624034,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:20:17,116,0,500,0,1752151,5624178,1760136,5624034,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:20:38,100,0,500,0,1745037,5624562,1752355,5624421,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:20:59,100,0,500,0,1745037,5624562,1752355,5624421,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:21:20,100,0,500,0,1745037,5624562,1752355,5624421,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:21:41,92,0,500,0,1739485,5625233,1746225,5624162,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:22:02,92,0,500,0,1739485,5625233,1746225,5624162,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:22:23,92,0,500,0,1739485,5625233,1746225,5624162,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:22:44,86,0,500,0,1735290,5625575,1740853,5624174,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:23:05,86,0,500,0,1735290,5625575,1740853,5624174,500,20.35,63.0,1007.59,HOME
00:A0:50:1A:D6:9E - AirifyW5,28-05-2020 11:23:26,86,0,500,0,1735290,5625575,1740853,5624174,500,20.35,63.0,1007.59,HOME
